CH4              2   142.100    3.790    0.000    2.600   13.000 !L-J FROM MOURITS 1977 (MANI 2010)
CO               1   104.500    3.698    0.000    1.950    1.800 !L-J FROM MOURITS 1977 (MANI 2010)
CO2              1   200.900    3.943    0.000    2.650    2.100 !L-J FROM MOURITS 1977 (MANI 2010)
H                0   145.000    2.050    0.000    0.000    0.000 
H2               1    38.000    2.920    0.000    0.790  280.000 
H2O              2   506.000    3.215    1.844    0.000    4.000 !!L-J FROM MOURITS 1977 (MANI 2010)
H2O2             2   107.400    3.458    0.000    0.000    3.800 
HCCO             2   150.000    2.500    0.000    0.000    1.000 ! *
HCO              2   498.000    3.590    0.000    0.000    0.000 
HO2              2   107.400    3.458    0.000    0.000    1.000 ! *
N2               1    82.000    3.738    0.000    1.760    4.000 !L-J FROM MOURITS 1977 (MANI 2010)
O                0    80.000    2.750    0.000    0.000    0.000 
O2               1   102.600    3.480    0.000    1.600    3.800 !!L-J FROM MOURITS 1977 (MANI 2010)
OH               1    80.000    2.750    0.000    0.000    0.000 
C7H15-1          1   563.150    6.030    0.000   13.610    1.000 !   !CALC MANI 2010
C7H15O2-1        2   561.000    6.317    1.700    0.000    1.000 !   WJP
C7H14OOH1-3      2   561.000    6.317    1.700    0.000    1.000 !   WJP
C7H14-1          1   558.040    5.890    0.000   13.510    1.000 !   CALC MANI 2010
NC5H11CHO        2   498.600    6.009    2.000    0.000    1.000 !  C2H5COC3H7-N WJP
NC5H11CO         2   498.600    6.009    2.000    0.000    1.000 !  C2H5COC3H7-N WJP
NC4H9CHO         2   476.000    5.778    2.600    0.000    1.000 !   WJP:  PENTANAL, TCPC, POLING 4TH EDITION
NC4H9CO          2   476.000    5.778    2.600    0.000    1.000 !   WJP
NC4KET13         2   476.000    5.778    2.600    0.000    1.000 !  WJP
C5H11-1          2   523.200    5.664    1.700    0.000    1.000 !   WJP
C4H10            2   350.900    5.206    0.000    0.000    1.000 !   WJP
C4H7OOH1-4       2   523.200    5.664    1.700    0.000    1.000 !   1C5H11OH WJP
C4H7O1-4         2   476.000    5.778    2.600    0.000    1.000 !   NC4H9CHO WJP
NC3H7CHO         2   464.200    5.009    2.600    0.000    1.000 !   WJP: BUTANAL, TCPC
NC3H7CO          2   464.200    5.009    2.600    0.000    1.000 !   WJP
C2H5CHO          2   435.200    4.662    2.700    0.000    1.000 !   WJP, PROPANAL
NC3H7O2          2   481.500    4.997    1.700    0.000    1.000 !   WJP
C2H3CHO          2   428.800    4.958    2.900    0.000    1.000 !   WJP:  ACROLEIN, TCPC, POLING 4TH EDITION
C6H12-1          1   423.400    5.850    0.000   11.650    1.000 !CALC MANI 2010
C6H13-1          1   510.730    5.780    0.000    0.000    0.000 ! CALC MANI 2010
NC3H7COCH2       2   489.084    5.348    0.000    0.000    0.000 !FLAMEMASTER
NC4H9COCH2       2   534.323    5.625    0.000    0.000    0.000 !FLAMEMASTER
C8H17-1          1   612.840    6.270    0.000   15.900    1.000 ! CALC MANI 2010
C8H16-1          1   608.980    6.110    0.000   15.120    1.000 !CALC
C8H15            1   608.980    6.110    0.000   15.120    1.000 !SAME AS C8H16-1
C9H19-1          1   658.900    6.490    0.000   17.360    1.000 ! CALC MANI 2010
C9H18-1          1   654.060    6.350    0.000   16.970    1.000 ! CALC MANI 2010
C9H17            1   654.060    6.350    0.000   16.970    1.000 ! CALC MANI 2010
C10H20-1         1   698.200    6.590    0.000   18.820    1.000 ! CALC MANI 2010
C12H26           1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25-2         1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25-3         1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25-5         1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25-6         1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H24-5         1   787.050    6.930    0.000   22.520    1.000 ! CALC MANI 2010
C12H25O2-2       1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25O2-5       1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12H25O2-6       1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH2-4        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH5-3        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH5-7        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH6-4        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH2-4O2      1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH5-3O2      1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH5-7O2      1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12OOH6-4O2      1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12O2-4          1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12O4-6          1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12O5-7          1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12KET2-4        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12KET5-3        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12KET5-7        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12KET6-4        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C12KET6-8        1  789.160    7.060    0.000   22.750    1.000 ! CALC MANI 2010
C8H17O2-1        1   612.840    6.270    0.000   15.900    1.000 ! CALC MANI 2010
NC8H17CHO        1   612.840    6.270    0.000   15.900    1.000 ! CALC MANI 2010
NC6H13CHO        2   534.500    6.240    2.580   13.500    1.000 !CALC
NC8H17CO         1   612.840    6.270    0.000   15.900    1.000 ! CALC MANI 2010
C8H17COCH2       1   612.840    6.270    0.000   15.900    1.000 ! CALC MANI 2010
C7H15COCH2       2   534.500    6.240    2.580   15.000    1.000 !SAME AS NC6H13CO
C6H13COCH2       2   534.500    6.240    2.580   13.500    1.000 !SAME AS NC6H13CHO
C5H11COCH2       2   498.600    6.009    2.000    0.000    1.000 !  C2H5COC3H7-N WJP
